2026-001	2026-04-01	14	3	Anacostia Kings	Bronx Wolves	Wolf Den	5	1	games/2026-001.json	Xavier Holt	Rex Moore	
2026-002	2026-04-01	15	2	Alexandria Cannons	Brooklyn Hammers	Iron Yard	9	5	games/2026-002.json	Carson Blake	Don Wells	
2026-003	2026-04-01	16	1	Bethesda Blaze	Queens Titans	Queens Coliseum	2	4	games/2026-003.json	Victor Hale	Leo Walsh	Ray Fox
2026-004	2026-04-01	9	8	Manayunk Runners	Germantown Colonials	Colonial Field	3	1	games/2026-004.json	Mel Ross	Len Wade	Bud Finn
2026-005	2026-04-01	17	0	Silver Spring Ghosts	Newark Knights	Knights Field	2	9	games/2026-005.json	Rafael Stone	Orion Marsh	
2026-006	2026-04-01	11	6	South Philly Stallions	Fishtown Ferals	Ferals Field	4	3	games/2026-006.json	Len Cole	Tony Ruiz	
2026-007	2026-04-01	12	5	Georgetown Ravens	Staten Island Foxes	Fox Field	4	5	games/2026-007.json	Joe Carr	Nolan Pike	Joe Carr
2026-008	2026-04-01	13	4	Capitol Hill Senators	Harlem Eagles	Eagle Park	3	5	games/2026-008.json	Roy Holt	Elias Page	Bill Knox
2026-009	2026-04-01	10	7	Fairmount Rams	Kensington Iron	Iron Works	3	4	games/2026-009.json	Nate Cross	Abe Finn	Mick Wade
2026-010	2026-04-02	0	16	Newark Knights	Bethesda Blaze	Blaze Arena	1	4	games/2026-010.json	Calvin Stone	Remy Cruz	Rhys Madden
2026-011	2026-04-02	7	8	Kensington Iron	Germantown Colonials	Colonial Field	1	0	games/2026-011.json	Gil Reyes	Len Wade	Mick Wade
2026-012	2026-04-02	5	10	Staten Island Foxes	Fairmount Rams	Fairmount Field	4	0	games/2026-012.json	Carl Kent	Abe Finn	
2026-013	2026-04-02	4	11	Harlem Eagles	South Philly Stallions	Stallions Field	6	5	games/2026-013.json	Bill Knox	Len Cole	Bill Knox
2026-014	2026-04-02	2	13	Brooklyn Hammers	Capitol Hill Senators	Capitol Park	3	2	games/2026-014.json	Kai Tanaka	Milo Fox	Sal Reyes
2026-015	2026-04-02	6	9	Fishtown Ferals	Manayunk Runners	Canal Park	1	0	games/2026-015.json	Carl Fox	Curt Nash	
2026-016	2026-04-02	17	15	Silver Spring Ghosts	Alexandria Cannons	Cannon Field	1	5	games/2026-016.json	Hudson Lane	Remy Park	
2026-017	2026-04-02	1	14	Queens Titans	Anacostia Kings	Kings Yard	4	2	games/2026-017.json	Deon Clarke	Tariq Ford	Ray Fox
2026-018	2026-04-02	3	12	Bronx Wolves	Georgetown Ravens	Ravens Nest	7	3	games/2026-018.json	Ivan Reyes	Nolan Pike	
